method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,delta,target_delta,smoothing_delta,lr_or_eta,batch_size,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker,block_id,M,block_oracle_norm
DGFM,DGFM,1536,1536,8,x_bar,8.055311441421509,1,100001,200001,1527951910,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3781768679618835,0.012986515648663,0.002,0.8368293642997742,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1920,1920,8,x_bar,10.157433032989502,1,100001,200001,1527951910,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3790877759456634,0.0127356499433517,0.002,0.838057816028595,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2304,2304,8,x_bar,12.247864007949827,1,100001,200001,1527951910,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3801854252815246,0.021821117028594,0.002,0.8373514413833618,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2688,2688,8,x_bar,14.271042108535768,1,100001,200001,1527951910,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3748940527439117,0.0235249809920787,0.002,0.8398391008377075,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3072,3072,8,x_bar,16.373815298080444,1,100001,200001,1527951910,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3728889524936676,0.0116123668849468,0.002,0.8402997255325317,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3456,3456,8,x_bar,18.37928342819214,1,100001,200001,1527951910,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3712016642093658,0.0136500429362058,0.002,0.8422345519065857,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3840,3840,8,x_bar,20.47287106513977,1,100001,200001,1527951910,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3727035224437713,0.0133420601487159,0.002,0.842173159122467,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1,1,8,x_bar,0.0378837585449218,2,100002,200002,741198208,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.928297221660614,0.3538959324359894,0.002,0.7588526010513306,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,384,384,8,x_bar,2.2050230503082275,2,100002,200002,741198208,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.4022476077079773,0.0185325387865304,0.002,0.827185869216919,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,768,768,8,x_bar,4.213943243026733,2,100002,200002,741198208,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3847984671592712,0.0158833004534244,0.002,0.8356008529663086,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1152,1152,8,x_bar,6.229852199554443,2,100002,200002,741198208,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3803918659687042,0.0163238309323787,0.002,0.8368907570838928,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1536,1536,8,x_bar,8.33026385307312,2,100002,200002,741198208,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3789478838443756,0.0163940265774726,0.002,0.8385491967201233,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1920,1920,8,x_bar,10.29935336112976,2,100002,200002,741198208,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3779911994934082,0.0115671129897236,0.002,0.8357851505279541,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2304,2304,8,x_bar,12.21871018409729,2,100002,200002,741198208,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3760047256946563,0.0110302688553929,0.002,0.8383035063743591,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2688,2688,8,x_bar,14.310513496398926,2,100002,200002,741198208,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3796925246715545,0.0142595516517758,0.002,0.8383342027664185,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3072,3072,8,x_bar,16.412503719329834,2,100002,200002,741198208,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3811388909816742,0.0154256094247102,0.002,0.8358158469200134,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3456,3456,8,x_bar,18.63385248184204,2,100002,200002,741198208,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3732832670211792,0.0177224595099687,0.002,0.8409139513969421,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3840,3840,8,x_bar,20.71784734725952,2,100002,200002,741198208,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.375836044549942,0.0103422868996858,0.002,0.8412824869155884,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1,1,8,x_bar,0.0526204109191894,3,100003,200003,1528288592,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9122337698936462,0.3572016060352325,0.002,0.7592211365699768,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,384,384,8,x_bar,2.046752452850342,3,100003,200003,1528288592,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3979816734790802,0.0314255207777023,0.002,0.8319154977798462,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,768,768,8,x_bar,4.054791450500488,3,100003,200003,1528288592,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3813111186027527,0.0186439231038093,0.002,0.8353859186172485,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1152,1152,8,x_bar,6.080833911895752,3,100003,200003,1528288592,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3790805041790008,0.0319485254585742,0.002,0.8389177322387695,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1536,1536,8,x_bar,8.060338735580444,3,100003,200003,1528288592,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3678738474845886,0.0114474454894661,0.002,0.8403304815292358,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1920,1920,8,x_bar,10.053606033325195,3,100003,200003,1528288592,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3683189153671264,0.0097683751955628,0.002,0.842633843421936,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2304,2304,8,x_bar,12.04771113395691,3,100003,200003,1528288592,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3706607818603515,0.0250737164169549,0.002,0.8414360880851746,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2688,2688,8,x_bar,14.073734045028688,3,100003,200003,1528288592,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3781785666942596,0.0114633981138467,0.002,0.8390098810195923,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3072,3072,8,x_bar,16.179237365722656,3,100003,200003,1528288592,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3755864799022674,0.0152945788577198,0.002,0.8388870358467102,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3456,3456,8,x_bar,18.160935878753666,3,100003,200003,1528288592,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3687678277492523,0.0237719416618347,0.002,0.8413439393043518,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3840,3840,8,x_bar,20.074259996414185,3,100003,200003,1528288592,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3726370930671692,0.0115758115425705,0.002,0.842050313949585,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1,1,8,x_bar,0.0326790809631347,4,100004,200004,196979118,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9225241541862488,0.3631511628627777,0.002,0.7591597437858582,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,384,384,8,x_bar,1.9310567378997805,4,100004,200004,196979118,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.4027060568332672,0.029936097562313,0.002,0.8292742967605591,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,768,768,8,x_bar,4.1418867111206055,4,100004,200004,196979118,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3822148740291595,0.0136792659759521,0.002,0.8370750546455383,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1152,1152,8,x_bar,6.297437429428101,4,100004,200004,196979118,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.384628415107727,0.0151849677786231,0.002,0.8355394601821899,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1536,1536,8,x_bar,8.225317478179932,4,100004,200004,196979118,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3779855668544769,0.0267191920429468,0.002,0.8372899889945984,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1920,1920,8,x_bar,10.290892601013184,4,100004,200004,196979118,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3711260855197906,0.0223232507705688,0.002,0.8398391008377075,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2304,2304,8,x_bar,12.238425970077516,4,100004,200004,196979118,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3719534575939178,0.0158889051526784,0.002,0.8406068682670593,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2688,2688,8,x_bar,14.210950374603271,4,100004,200004,196979118,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3726829588413238,0.0151342386379837,0.002,0.839194118976593,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3072,3072,8,x_bar,16.193482398986816,4,100004,200004,196979118,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.366223931312561,0.018315078690648,0.002,0.8424188494682312,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3456,3456,8,x_bar,18.0096595287323,4,100004,200004,196979118,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3699352145195007,0.0172062832862138,0.002,0.8424802422523499,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3840,3840,8,x_bar,20.107239484786987,4,100004,200004,196979118,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3685038685798645,0.0103813586756587,0.002,0.8449985980987549,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM+,DGFM+,1,1,8,x_bar,0.0530061721801757,0,100000,200000,310546480,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.9686449766159058,0.3672814071178436,0.002,0.7592211365699768,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,384,384,8,x_bar,3.3672165870666504,0,100000,200000,310546480,szo,110592,110592,13824,"[13824, 13824, 13824, 13824, 13824, 13824, 13824, 13824]",16384,768,768,0.4761721789836883,0.0422483757138252,0.002,0.7775252461433411,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,768,768,8,x_bar,6.570786952972412,0,100000,200000,310546480,szo,221184,221184,27648,"[27648, 27648, 27648, 27648, 27648, 27648, 27648, 27648]",24576,1536,1536,0.4386615753173828,0.0423038937151432,0.002,0.8051964044570923,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,1152,1152,8,x_bar,9.760077476501465,0,100000,200000,310546480,szo,331776,331776,41472,"[41472, 41472, 41472, 41472, 41472, 41472, 41472, 41472]",32768,2304,2304,0.4180044531822204,0.0308003649115562,0.002,0.8229784369468689,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,1536,1536,8,x_bar,12.867839097976685,0,100000,200000,310546480,szo,442368,442368,55296,"[55296, 55296, 55296, 55296, 55296, 55296, 55296, 55296]",40960,3072,3072,0.4175501763820648,0.0519885048270225,0.002,0.8270016312599182,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,1920,1920,8,x_bar,16.36027431488037,0,100000,200000,310546480,szo,552960,552960,69120,"[69120, 69120, 69120, 69120, 69120, 69120, 69120, 69120]",49152,3840,3840,0.399037092924118,0.0162144936621189,0.002,0.8332053422927856,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,2304,2304,8,x_bar,19.666263818740845,0,100000,200000,310546480,szo,663552,663552,82944,"[82944, 82944, 82944, 82944, 82944, 82944, 82944, 82944]",57344,4608,4608,0.3992163836956024,0.0156575758010149,0.002,0.8332667946815491,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,2688,2688,8,x_bar,23.048221111297607,0,100000,200000,310546480,szo,774144,774144,96768,"[96768, 96768, 96768, 96768, 96768, 96768, 96768, 96768]",65536,5376,5376,0.4022039175033569,0.0190202370285987,0.002,0.831669807434082,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3072,3072,8,x_bar,26.15944814682007,0,100000,200000,310546480,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",73728,6144,6144,0.406968742609024,0.0128045743331313,0.002,0.8303492069244385,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,28.979084014892575,0,100000,200000,310546480,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.402461439371109,0.0224503297358751,0.002,0.8301956057548523,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,1,1,8,x_bar,0.0312058925628662,1,100001,200001,169987917,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.9734202027320862,0.3588612377643585,0.002,0.7591904401779175,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
