sweep_grid_id,sweep_M,sweep_eta,final_stat_proxy_mean,final_stat_proxy_std,final_objective_mean,final_objective_std,final_work_mean,final_time_sec_mean
M12_eta0.3,12.0,0.3,0.00732812169007957,0.0005935713370758827,0.722828072309494,0.0032442975494561795,492544.0,9.275311756134034
M16_eta0.5,16.0,0.5,0.0074494107160717245,0.0005055951704225143,0.724087530374527,0.0029228617847495875,492544.0,9.31401298046112
M16_eta0.3,16.0,0.3,0.007460669241845607,0.0004909609602089978,0.7237471461296081,0.0029809767318753383,492544.0,9.252635216712951
M12_eta0.5,12.0,0.5,0.007491084700450301,0.0005685301620802027,0.7235240459442138,0.003045999094548482,492544.0,9.32453167438507
M16_eta0.2,16.0,0.2,0.007498965365812182,0.0004931557252702746,0.7231612920761108,0.0031196127766112036,492544.0,9.220239281654358
M12_eta0.2,12.0,0.2,0.0075587159488350155,0.0006515358372385067,0.7216213285923004,0.003605534158097529,492544.0,9.280839467048645
M8_eta0.5,8.0,0.5,0.007615887047722936,0.000526199826667864,0.7221587777137757,0.0034161895032607595,492544.0,9.432421827316285
M16_eta0.1,16.0,0.1,0.007627012580633164,0.0004569673578555111,0.7208794534206391,0.003687611184988065,492544.0,9.347124290466308
M8_eta0.3,8.0,0.3,0.007784897089004516,0.0005938014047145439,0.7204061031341553,0.00390480516495732,492544.0,9.459884905815125
M8_eta0.2,8.0,0.2,0.008021260052919388,0.000605811814783376,0.7184220790863037,0.004368964999385929,492544.0,9.299768161773681
M12_eta0.1,12.0,0.1,0.008075431967154146,0.000591369304609357,0.7187195479869842,0.004165258962886611,492544.0,9.219049096107483
M4_eta0.5,4.0,0.5,0.008302138838917016,0.0005782224073984424,0.7169524192810058,0.004450187439425368,492544.0,9.33686716556549
M8_eta0.1,8.0,0.1,0.008827894367277623,0.000673638616291219,0.7156557679176331,0.004473560305771921,492544.0,9.278845429420471
M4_eta0.3,4.0,0.3,0.009176302142441273,0.0008132574887433084,0.7144387483596801,0.00467531946720003,492544.0,9.51077983379364
M4_eta0.2,4.0,0.2,0.009343660809099675,0.00044197290060449116,0.7129743039608002,0.005828005685091815,492544.0,9.459623432159423
M4_eta0.1,4.0,0.1,0.010880516283214093,0.0007720662721421254,0.7138227999210358,0.005159068612479052,492544.0,9.3523503780365
