sweep_grid_id,sweep_M,sweep_eta,final_stat_proxy_mean,final_stat_proxy_std,final_objective_mean,final_objective_std,final_work_mean,final_time_sec_mean
M12_eta0.2,12.0,0.2,0.007161215972155332,0.0006841842799171513,0.7164978206157684,0.004770512643588999,492544.0,9.11268630027771
M12_eta0.5,12.0,0.5,0.007317913929000497,0.0006121086299352037,0.719311386346817,0.004976606863257834,492544.0,9.313874316215514
M12_eta0.3,12.0,0.3,0.0073776526376605036,0.0007121600573596608,0.7182729780673981,0.004937102108271615,492544.0,9.430349493026734
M12_eta0.1,12.0,0.1,0.007453640596941114,0.0008238332831210528,0.7132398545742035,0.0043232186830288455,492544.0,9.160322284698486
M16_eta0.2,16.0,0.2,0.007625228306278586,0.0003788902947434794,0.718773877620697,0.004983985113311444,492544.0,9.2627384185791
M16_eta0.5,16.0,0.5,0.007644065842032433,0.0005781838344439194,0.7202189683914184,0.004992615477110253,492544.0,9.430645442008972
M16_eta0.3,16.0,0.3,0.007680997671559453,0.000430741005497221,0.7196932911872864,0.0049996145183787725,492544.0,9.289628481864929
M8_eta0.3,8.0,0.3,0.007751005375757814,0.0005083585766283505,0.7148394644260406,0.00476635171487451,492544.0,9.352475380897522
M16_eta0.1,16.0,0.1,0.007782385498285293,0.0004997872132324549,0.7154500901699066,0.0046667057612752505,492544.0,9.434856247901916
M4_eta0.5,4.0,0.5,0.007846695138141513,0.0007237821392143243,0.71097691655159,0.00420458136681136,492544.0,9.385519576072692
M8_eta0.5,8.0,0.5,0.00790949766524136,0.0005566925861691612,0.7172569811344147,0.004903006088181159,492544.0,9.366752314567567
M8_eta0.2,8.0,0.2,0.008096336852759123,0.0006309738340661386,0.7129601836204529,0.004668251876973234,492544.0,9.373641633987427
M8_eta0.1,8.0,0.1,0.008280570525676012,0.0007460834123128881,0.7101774871349334,0.003838359444382967,492544.0,9.25359046459198
M4_eta0.3,4.0,0.3,0.008365759765729308,0.0005986350758885207,0.7090463638305664,0.0033587722458134823,492544.0,9.210673260688782
M4_eta0.2,4.0,0.2,0.009036593232303857,0.0005767062445100827,0.7078527510166168,0.004117582748378169,492544.0,9.304196000099182
M4_eta0.1,4.0,0.1,0.009420619625598193,0.0008695233912402356,0.7081046223640441,0.004002130778795132,492544.0,9.323102045059205
